id,date,company,position,tags,location,salary_min,salary_max,url
1093438,2025-06-24 08:01:21+00:00,Binkies,Customer Content Manager,"['manager', '3d', 'training', 'technical', 'web', 'video', 'content', 'recruitment', 'educational']",Worldwide,60000,70000,https://remoteOK.com/remote-jobs/remote-customer-content-manager-binkies-1093438
1093437,2025-06-24 08:01:06+00:00,Transperfect,English Language Data Annotator,"['react', 'teach', 'training', 'speech', 'management', 'legal', 'recruitment', 'full-time', 'non tech']",Worldwide,60000,150000,https://remoteOK.com/remote-jobs/remote-english-language-data-annotator-transperfect-1093437
1093436,2025-06-23 16:01:46+00:00,Aircall,Customer Support Manager United States,"['manager', 'saas', 'technical', 'support', 'growth', 'director', 'voice', 'management', 'operational', 'sales']",Remote Na,45000,70000,https://remoteOK.com/remote-jobs/remote-customer-support-manager-united-states-aircall-1093436
1093435,2025-06-23 16:01:01+00:00,Transperfect,Freelance English Annotators,"['voice', 'speech']",Worldwide,0,0,https://remoteOK.com/remote-jobs/remote-freelance-english-annotators-transperfect-1093435
1093434,2025-06-22 16:00:09+00:00,2100 Nvidia Usa,Senior System Software Engineer Cloud Networking,"['system', 'software', 'design', 'gaming', 'technical', 'support', 'test', 'growth', 'code', 'cloud', 'leader', 'senior', 'engineer', 'linux', 'digital nomad']","Us, Ca, Santa Clara",70000,130000,https://remoteOK.com/remote-jobs/remote-senior-system-software-engineer-cloud-networking-2100-nvidia-usa-1093434
1093433,2025-06-22 08:01:19+00:00,Highspot,Solutions Consultant,"['consultant', 'salesforce', 'infosec', 'technical', 'support', 'software', 'api', 'microsoft', 'management', 'lead', 'content', 'sales', 'health', 'engineer', 'executive']",United States,62500,115000,https://remoteOK.com/remote-jobs/remote-solutions-consultant-highspot-1093433
1093432,2025-06-22 08:01:12+00:00,Tether Operations Limited,Print & Multimedia Designer,"['design', 'cryptocurrency', 'bitcoin', 'designer', 'support', 'growth', 'financial', 'video', 'fintech', 'leader', 'content', 'ops', 'marketing', 'branding', 'digital nomad']",Worldwide,80000,120000,https://remoteOK.com/remote-jobs/remote-print-multimedia-designer-tether-operations-limited-1093432
1093431,2025-06-22 08:01:04+00:00,Deephealth,Senior Regulatory Specialist,"['design', 'system', 'technical', 'support', 'software', 'travel', 'education', 'management', 'senior', 'marketing', 'healthcare', 'digital nomad']",Worldwide,60000,130000,https://remoteOK.com/remote-jobs/remote-senior-regulatory-specialist-deephealth-1093431
1093430,2025-06-22 00:01:41+00:00,Ibility,Grants Auditor Hybrid With Travel,"['travel', 'design', 'support', 'testing', 'accounting', 'financial', 'management', 'operational', 'excel', 'digital nomad']",Washington Dc,80000,120000,https://remoteOK.com/remote-jobs/remote-grants-auditor-hybrid-with-travel-ibility-1093430
1093427,2025-06-20 17:36:45+00:00,Soda,Senior Ui Ux Designer Data & Ai Platform,"['front end', 'design']",Worldwide,80000,120000,https://remoteOK.com/remote-jobs/remote-senior-ui-ux-designer-data-ai-platform-soda-1093427
1093423,2025-06-20 11:00:05+00:00,Ethena Labs,Compliance Operations Specialist,"['design', 'defi', 'crypto', 'ethereum', 'support', 'growth', 'manager', 'financial', 'investor', 'finance', 'strategy', 'operations', 'operational', 'legal', 'digital nomad']",Globally Remote,70000,115000,https://remoteOK.com/remote-jobs/remote-compliance-operations-specialist-ethena-labs-1093423
1093421,2025-06-20 08:02:10+00:00,Tether Operations Limited,Event Assistant,"['assistant', 'bitcoin', 'support', 'growth', 'travel', 'manager', 'financial', 'fintech', 'microsoft', 'leader', 'management', 'ops', 'executive']",Worldwide,80000,120000,https://remoteOK.com/remote-jobs/remote-event-assistant-tether-operations-limited-1093421
